symbol,signal_date,entry,risk_pct,t1,baseline_r,sweep_full_r,t1_then_sweep_r,baseline_reason,sweep_full_reason,t1_then_sweep_reason,t1_hit
HCLTECH,2018-04-12 03:45:00+00:00,507.25,11.212914105679703,,-1.0,-1.0,-1.0,stop,stop,stop,False
HCLTECH,2018-10-31 03:45:00+00:00,527.5,10.744347822206116,,-1.0,-0.4852104779599051,-1.0,stop,sweep_reject,stop,False
HCLTECH,2020-01-03 03:45:00+00:00,585.0,4.946337130480188,,-1.0,0.9330913954376086,-1.0,stop,sweep_reject,stop,False
HCLTECH,2020-09-08 03:45:00+00:00,712.0999755859375,4.43992959804417,,12.797018494231375,4.453338946036312,12.797018494231375,trend_exit,sweep_reject,trend_exit,False
HCLTECH,2023-01-09 03:45:00+00:00,1061.0,3.4177664226071207,1150.6500244140625,-1.0,2.5646327618789533,0.7361257511588855,stop,sweep_reject,stop_after_t1,True
HCLTECH,2023-05-08 03:45:00+00:00,1071.0,5.295251482754558,1156.6500244140625,5.1135432857000795,1.3577339068927798,2.8922381457907615,trend_exit,sweep_reject,sweep_reject,True
HDFCBANK,2017-07-27 03:45:00+00:00,443.0,7.435948071422901,,-1.0,0.5919629651518246,-1.0,stop,sweep_reject,stop,False
HDFCBANK,2021-02-02 03:45:00+00:00,789.5,15.308875385306168,,-1.0,0.19029720682522158,-1.0,stop,sweep_reject,stop,False
HDFCBANK,2022-09-14 03:45:00+00:00,765.0,6.796780341368313,861.0499877929688,-1.0063398452213512,-1.0063398452213512,-1.0063398452213512,stop,stop,stop,False
HDFCBANK,2022-10-31 03:45:00+00:00,751.75,4.7953347880243715,861.0499877929688,1.1955965533498667,2.3093612400757784,3.041351960037729,trend_exit,sweep_reject,sweep_reject,True
HDFCBANK,2024-11-25 03:45:00+00:00,905.0,7.8302106006745715,,-1.0,0.19756318250668511,-1.0,stop,sweep_reject,stop,False
HDFCBANK,2025-01-30 03:45:00+00:00,843.625,3.837333333443581,907.5,3.21490025508243,1.8171176994282898,2.490524166842321,trend_exit,sweep_reject,sweep_reject,True
HINDUNILVR,2017-04-26 03:45:00+00:00,941.0999755859375,2.815016488859544,,50.91702930578738,8.753547427825618,50.91702930578738,trend_exit,sweep_reject,trend_exit,False
HINDUNILVR,2022-09-22 03:45:00+00:00,2697.89990234375,7.226435489864767,,-1.0,-1.0,-1.0,stop,stop,stop,False
