symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_be_r,t1t2_be_reason,t1t2_be_hit_t1,t1t2_be_hit_t2,t1t2_be_bars,t1t2_be_open,t1run_be_r,t1run_be_reason,t1run_be_hit_t1,t1run_be_hit_t2,t1run_be_bars,t1run_be_open,t1run_trail_r,t1run_trail_reason,t1run_trail_hit_t1,t1run_trail_hit_t2,t1run_trail_bars,t1run_trail_open
BRITANNIA,2020-11-27 03:45:00+00:00,2020-12-01 03:45:00+00:00,3702.5,3437.877859933036,7.147120596001734,4005.0,daily_swing,,,1.1431394210758425,,12,0.5043038014056749,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False
BRITANNIA,2021-11-15 03:45:00+00:00,2021-11-16 03:45:00+00:00,3751.0,3527.3416887555804,5.962631598091697,3993.14990234375,daily_swing,,,1.0826778624789057,,6,0.9344611377826215,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False
BRITANNIA,2021-12-09 03:45:00+00:00,2021-12-10 03:45:00+00:00,3623.89990234375,3461.465811593192,4.482300701669603,3960.0,daily_swing,3993.14990234375,daily_swing,2.0691475299503623,2.273229703775909,9,0.308433392428602,-1.0,stop,False,False,6,False,-1.0,stop,False,False,6,False,-1.0,stop,False,False,6,False,-1.0,stop,False,False,6,False,-1.0,stop,False,False,6,False,-1.0,stop,False,False,6,False
BRITANNIA,2022-08-30 03:45:00+00:00,2022-09-01 03:45:00+00:00,3730.0,3628.8307634626117,2.712311971511751,3949.35009765625,prev_month,3960.0,daily_swing,2.1681501725594865,2.273418361865375,8,2.1681501725594865,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False,-1.0,stop,False,False,3,False
BRITANNIA,2022-11-07 03:45:00+00:00,2022-11-09 03:45:00+00:00,4140.0,3681.717503138951,11.06962552804466,,,,,,,0,,0.851112157586422,trend_exit,False,False,573,False,0.851112157586422,trend_exit,False,False,573,False,0.851112157586422,trend_exit,False,False,573,False,0.851112157586422,trend_exit,False,False,573,False,0.851112157586422,trend_exit,False,False,573,False,0.851112157586422,trend_exit,False,False,573,False
BRITANNIA,2025-05-12 03:45:00+00:00,2025-05-13 03:45:00+00:00,5629.5,5262.85857282366,6.512859528845184,6114.0,daily_swing,6469.89990234375,daily_swing,1.3214545986560737,2.292157514266798,6,0.7436418313215228,-0.10773468864172324,trend_exit,False,False,217,False,0.6068599550071753,trend_exit,True,False,217,False,0.6068599550071753,trend_exit,True,False,217,False,0.6607272993280369,stop_after_t1,True,False,215,False,0.6607272993280369,stop_after_t1,True,False,215,False,0.9491562442359415,stop_after_t1,True,False,103,False
CIPLA,2018-11-30 03:45:00+00:00,2018-12-03 03:45:00+00:00,542.0,510.529285975865,5.806404801500927,638.2000122070312,daily_swing,651.6500244140625,daily_swing,3.056810599634157,3.484192456833723,7,3.056810599634157,-1.0199961169898464,stop,False,False,5,False,-1.0199961169898464,stop,False,False,5,False,-1.0199961169898464,stop,False,False,5,False,-1.0199961169898464,stop,False,False,5,False,-1.0199961169898464,stop,False,False,5,False,-1.0199961169898464,stop,False,False,5,False
CIPLA,2019-02-01 03:45:00+00:00,2019-02-04 03:45:00+00:00,521.0,482.70250047956193,7.350767662272181,631.9500122070312,prev_month,638.2000122070312,daily_swing,2.897056298618687,3.060252331734755,13,0.07833409589571252,-0.07833409589571252,trend_exit,False,False,122,False,-0.07833409589571252,trend_exit,False,False,122,False,-0.07833409589571252,trend_exit,False,False,122,False,-0.07833409589571252,trend_exit,False,False,122,False,-0.07833409589571252,trend_exit,False,False,122,False,-0.07833409589571252,trend_exit,False,False,122,False
CIPLA,2020-05-22 03:45:00+00:00,2020-05-26 03:45:00+00:00,640.0,563.375333077567,11.972604206630155,,,,,,,6,0.15204013122635557,3.3122491488268393,trend_exit,False,False,394,False,3.3122491488268393,trend_exit,False,False,394,False,3.3122491488268393,trend_exit,False,False,394,False,3.3122491488268393,trend_exit,False,False,394,False,3.3122491488268393,trend_exit,False,False,394,False,3.3122491488268393,trend_exit,False,False,394,False
CIPLA,2022-05-31 03:45:00+00:00,2022-06-01 03:45:00+00:00,994.5,901.9917864118304,9.301982261253858,,,,,,,6,0.479957645833738,-1.0,stop,False,False,188,False,-1.0,stop,False,False,188,False,-1.0,stop,False,False,188,False,-1.0,stop,False,False,188,False,-1.0,stop,False,False,188,False,-1.0,stop,False,False,188,False
