symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open
SBIN,2018-06-28 03:45:00+00:00,2018-06-29 03:45:00+00:00,258.25,290.2924938746861,12.407548450991714,,,,,,,11,0.6366543745398225,-1.0,stop,False,False,20,False,-1.0,stop,False,False,20,False,-1.0,stop,False,False,20,False
SBIN,2018-12-06 03:45:00+00:00,2018-12-07 03:45:00+00:00,277.0,293.1157263619559,5.817951755218744,247.39999389648438,daily_swing,224.39999389648438,daily_swing,1.8367156055337213,3.263892977711971,16,0.22648646511527049,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False
SBIN,2019-10-01 03:45:00+00:00,2019-10-03 03:45:00+00:00,254.0,317.4753573826381,24.990298182140982,,,,,,,11,0.2544293496313855,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False
SBIN,2020-01-06 03:45:00+00:00,2020-01-07 03:45:00+00:00,324.45001220703125,340.2242861066546,4.861850302399673,299.70001220703125,daily_swing,248.64999389648438,daily_swing,1.5690104126181685,4.805293656803874,19,1.0428379975970914,5.321957304737551,trend_exit,False,False,221,False,3.44548385867786,trend_exit,True,False,221,False,3.1871520347110214,t2,True,True,44,False
SBIN,2025-06-13 03:45:00+00:00,2025-06-16 03:45:00+00:00,792.5,825.7178580147879,4.191527825209831,730.0,daily_swing,680.0,daily_swing,1.8815180669438796,3.3867325204989833,63,0.4033982085207627,-1.0,stop,False,False,22,False,-1.0,stop,False,False,22,False,-1.0,stop,False,False,22,False
SBIN,2025-07-28 03:45:00+00:00,2025-07-29 03:45:00+00:00,796.2000122070312,843.6603576660157,5.960857162941563,719.0499877929688,daily_swing,633.25,prev_month,1.6255681172977579,3.4333928805439027,65,0.30551821441188215,-1.0,stop,False,False,34,False,-1.0,stop,False,False,34,False,-1.0,stop,False,False,34,False
SBIN,2026-07-08 03:45:00+00:00,2026-07-09 03:45:00+00:00,1019.7999877929688,1061.511121041434,4.090128824058505,937.2000122070312,daily_swing,857.25,daily_swing,1.980286056816176,3.897040793034541,78,1.980286056816176,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False
SUNPHARMA,2017-07-31 03:45:00+00:00,2017-08-01 03:45:00+00:00,531.6500244140625,592.8110713413784,11.504005288953412,,,,,,,5,0.1945686840221123,-1.0,stop,False,False,109,False,-1.0,stop,False,False,109,False,-1.0,stop,False,False,109,False
SUNPHARMA,2018-05-10 03:45:00+00:00,2018-05-11 03:45:00+00:00,494.0,540.6299878801618,9.43926880165219,,,,,,,10,0.042890853953039015,-1.0,stop,False,False,21,False,-1.0,stop,False,False,21,False,-1.0,stop,False,False,21,False
SUNPHARMA,2022-09-01 03:45:00+00:00,2022-09-02 03:45:00+00:00,872.9000244140625,930.8375004359654,6.637355298597179,784.7999877929688,daily_swing,672.5499877929688,daily_swing,1.5206053606440872,3.458038740682332,45,0.13635430737569498,-1.0,stop,False,False,19,False,-1.0,stop,False,False,19,False,-1.0,stop,False,False,19,False
SUNPHARMA,2023-04-25 03:45:00+00:00,2023-04-26 03:45:00+00:00,975.7999877929688,1025.570690046038,5.100502446781014,892.0499877929688,daily_swing,821.9000244140625,daily_swing,1.6827168637114298,3.0921798651015764,54,0.5716216753858808,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False
SUNPHARMA,2025-06-18 03:45:00+00:00,2025-06-19 03:45:00+00:00,1648.0999755859375,1730.6000026157924,5.0057659275508595,1498.300048828125,daily_swing,1377.199951171875,daily_swing,1.815756093068955,3.2836355837317472,79,0.1393938937236761,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False
SUNPHARMA,2025-08-01 03:45:00+00:00,2025-08-04 03:45:00+00:00,1629.800048828125,1734.4657636369977,6.421997280226523,1460.9000244140625,daily_swing,1290.0,daily_swing,1.6137091761374422,3.246526806305434,74,0.7332869234223559,-1.0,stop,False,False,67,False,-1.0,stop,False,False,67,False,-1.0,stop,False,False,67,False
