signal_time,direction,leg1_r,leg2_r,total_r,exit_reason,is_win,session,dow,hour_utc,month,quarter,atr15,atr_trailing_pct,vol_regime,target1_R,target2_R,ob_body_atr_ratio,fvg_size_atr_ratio,bars_zone_to_confirmation_5m,t1_time,exit_time,bars_to_resolution_5m,bars_to_t1_5m
2026-05-04 06:05:00+00:00,bullish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Monday,6,2026-05,2026Q2,0.00042678571428563953,0.20921544209215442,low,0.7536357716521992,2.084653787715031,0.13253012048227902,1.6144578313253979,28.0,,2026-05-04 06:50:00+00:00,9.0,
2026-05-06 08:00:00+00:00,bullish,0.23668254303691424,0.5575694523465098,0.39712599769171203,both_targets,True,Asia/London overlap,Wednesday,8,2026-05,2026Q2,0.0006703571428571412,0.53942828979793,medium,0.23668254303691424,0.5575694523465098,0.13425679275461272,1.4619072988814998,0.0,2026-05-06 08:35:00+00:00,2026-05-06 08:40:00+00:00,8.0,7.0
2026-05-15 09:05:00+00:00,bearish,0.05328948370099958,1.387658155574707,0.7204738196378533,both_targets,True,London,Friday,9,2026-05,2026Q2,0.0007067857142856975,0.6478839752734189,medium,0.05328948370099958,1.387658155574707,,,,2026-05-15 09:10:00+00:00,2026-05-15 09:15:00+00:00,2.0,1.0
2026-05-20 05:30:00+00:00,bearish,0.12197778261817913,0.2570246133741032,0.18950119799614118,both_targets,True,Asia,Wednesday,5,2026-05,2026Q2,0.0004274999999999775,0.29273715415019763,low,0.12197778261817913,0.2570246133741032,,,,2026-05-20 05:50:00+00:00,2026-05-20 05:55:00+00:00,5.0,4.0
2026-05-22 14:05:00+00:00,bearish,0.591330611859774,-1.0,-0.204334694070113,stop_after_partial,False,London/NY overlap,Friday,14,2026-05,2026Q2,0.0006853571428571918,0.6718972895863052,high,0.591330611859774,1.060430873781588,0.21156852527333098,0.3647733194373026,1.0,2026-05-22 14:10:00+00:00,2026-05-22 16:15:00+00:00,26.0,1.0
2026-05-29 16:00:00+00:00,bullish,0.5615530655548844,0.44298849718945044,0.5022707813721674,both_targets,True,London/NY overlap,Friday,16,2026-05,2026Q2,0.0008257142857143027,0.8447825053482292,high,0.5615530655548844,0.44298849718945044,0.4123036649213379,3.3167539267018875,15.0,2026-05-29 16:05:00+00:00,2026-05-29 16:10:00+00:00,2.0,1.0
2026-05-29 19:10:00+00:00,bullish,0.4299014911440983,0.2734173483676386,0.35165941975586845,both_targets,True,New York,Friday,19,2026-05,2026Q2,0.000576428571428573,0.5786970993818354,medium,0.4299014911440983,0.2734173483676386,,,,2026-05-29 19:15:00+00:00,2026-05-29 19:20:00+00:00,2.0,1.0
2026-06-11 20:00:00+00:00,bullish,0.2935893637508286,0.07193911562107597,0.1827642396859523,both_targets,True,New York,Thursday,20,2026-06,2026Q2,0.0013485714285713657,0.9971462544589774,high,0.2935893637508286,0.07193911562107597,0.4878048780483276,6.260162601626102,30.0,2026-06-11 20:05:00+00:00,2026-06-11 20:10:00+00:00,2.0,1.0
2026-06-17 20:00:00+00:00,bearish,1.0404901305083312,0.8081573968433432,0.9243237636758372,both_targets,True,New York,Wednesday,20,2026-06,2026Q2,0.001656785714285704,0.999757986447241,high,1.0404901305083312,0.8081573968433432,0.219435736677562,7.735109717868225,27.0,2026-06-17 20:05:00+00:00,2026-06-17 20:10:00+00:00,2.0,1.0
2026-06-22 07:30:00+00:00,bearish,0.03233256351044345,0.35565819861423986,0.19399538106234165,both_targets,True,Asia,Monday,7,2026-06,2026Q2,0.000467857142857131,0.4673428995546759,medium,0.03233256351044345,0.35565819861423986,0.23844282238449568,0.5563665855638232,3.0,2026-06-22 07:35:00+00:00,2026-06-22 07:40:00+00:00,2.0,1.0
2026-06-22 10:40:00+00:00,bearish,1.44447461308759,0.22264458321999206,0.8335595981537911,both_targets,True,London,Monday,10,2026-06,2026Q2,0.0007574999999999983,0.8505320465231379,high,1.44447461308759,0.22264458321999206,0.23844282238449568,0.5563665855638232,41.0,2026-06-22 13:05:00+00:00,2026-06-22 13:10:00+00:00,30.0,29.0
2026-06-23 14:15:00+00:00,bearish,0.8249912699335951,1.4096147130717698,1.1173029915026824,both_targets,True,London/NY overlap,Tuesday,14,2026-06,2026Q2,0.000795714285714233,0.8854527461652647,high,0.8249912699335951,1.4096147130717698,0.4904250350304002,0.6669780476413326,3.0,2026-06-23 14:20:00+00:00,2026-06-23 14:25:00+00:00,2.0,1.0
2026-07-08 00:00:00+00:00,bearish,2.139319692427773,0.05017594161336726,1.09474781702057,both_targets,True,Asia,Wednesday,0,2026-07,2026Q3,0.0003614285714285602,0.27788746298124384,low,2.139319692427773,0.05017594161336726,0.15960912052122211,0.47882736156366634,36.0,2026-07-08 00:05:00+00:00,2026-07-08 00:10:00+00:00,2.0,1.0
2026-07-08 01:45:00+00:00,bearish,0.023827083451503493,-1.0,-0.48808645827424824,stop_after_partial,False,Asia,Wednesday,1,2026-07,2026Q3,0.0003407142857142815,0.22985957132298596,low,0.023827083451503493,0.17473194531108438,,,,2026-07-08 01:50:00+00:00,2026-07-08 02:40:00+00:00,11.0,1.0
2026-07-10 04:00:00+00:00,bullish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Friday,4,2026-07,2026Q3,0.0004885714285714414,0.5544531065438223,medium,0.6390646272122256,0.00560583006330226,0.27667984189784994,2.9051383399218955,45.0,,2026-07-10 08:55:00+00:00,59.0,
2026-07-14 10:45:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,London,Tuesday,10,2026-07,2026Q3,0.0005064285714285267,0.5804057397328055,medium,54.17249417175614,55.96736596660824,,,,,2026-07-14 10:50:00+00:00,1.0,
2026-07-21 20:00:00+00:00,bearish,1.047861507127805,0.11405295315692726,0.5809572301423661,both_targets,True,New York,Tuesday,20,2026-07,2026Q3,0.000314285714285759,0.18159327065809006,low,1.047861507127805,0.11405295315692726,0.03690685413029469,0.5659050966612406,24.0,2026-07-21 20:05:00+00:00,2026-07-21 20:10:00+00:00,2.0,1.0
